行,取引先名,法人番号,採用値_億円,金額の出所,余裕率,G列,I列
1991,株式会社玉越,4180001000754,365.0,G列,21.7,365億円（2026年2月実績・単体）,○ 妥当（2次検証で再現確認済）：自社HP会社概要 https://www.tamakoshi.com/company/profile/ の「売上高365億円（2026年2月実績）」を独立検索で再現。従業員243名（2026年3月1日現在）も一致し、ページは最新。設立1983年・資本金1億円・名古屋市守山区。株式会社で、当社自身がグループの中核会社のため§3-3の子会社制約に該当しない。基準300
819,株式会社ビケンテクノ,5120901008067,365.05,I列(訂正),21.7,300.99億円（2026年3月期・単体）,"○ 妥当（G列訂正：連結365.05億円（2026年3月期）を採用すべき）：G列の単体300.99億円（30,099,473千円）は基準300億をわずか0.99億円＝0.33%しか上回らず、単体だけを根拠にすると極めて危うい。同社は東証スタンダード上場（9791）の親会社であり§3-3により連結採用が可能で、2026年3月期の連結売上高は365億500万円（前期比+5.29%）。連結値なら余裕をも"
455,株式会社アイエイアイ,4080001007512,366.0,G列,22.0,366億円（2024年・単体）,"○ 妥当（G列補正）：正しくは366億6,000万円（2024年12月期・単体）。静岡県公式「しずおか就職net」企業情報（公的機関＝承認ソース§3-4の3）および同社の環境経営レポート2025年度版（エコアクション21、2026年3月発行）で確認。従業員1,452名（2025年4月時点）。2024年12月期は直近3期以内だが、最新の2025年12月期の数値は承認ソースで未確認。300億に対する余"
3102,株式会社モリキ,5100001011907,366.0,G列,22.0,366億円（自社HP現行値・単体）,"○ 妥当（要注記）：自社HP会社概要（moriki-group.info/corporate-info/）に売上高366億円の記載を確認。会社概要欄に資本金2,500万円と並記された自社データであり、グループ合算値との注記はないため単体値として読める。親子判定：モリキは2003年に株式会社富士薬品と資本業務提携し現在も富士薬品グループ会社一覧に掲載される子会社であるため§3-3により単体300億以"
1058,株式会社アイネス,2020001030067,366.16,G列,22.1,366.16億円（2026年3月期・連結）,"○ 妥当（G列は正しいことを確認）：2026年3月期の連結売上高36,616百万円＝366.16億円を検索で直接再現（前期比▲9.7%、営業損失6億47百万円、経常損益▲4億6,000万円）。1次が「承認ソース未達」としていた点について、自社IRの決算短信一覧ページ（ines.co.jp/ir/tanshin.html）の実在を確認したため出典はここへ差し替え可能。東証上場の親会社で連結採用可、決"
921,ヤマザキビスケット株式会社,2011101021444,366.32,I列(訂正),22.1,345.87億円（2024年・単体）,○ 妥当（G列訂正：366.32億円（2025年12月期・単体）が正。営業利益33.39億円。親会社・山崎製パンの公式サイトに掲載された2026/2/6付「決算公告」で確認）。G列の「345.87億円（2024年・単体）」は1期古く数値も相違するため要更新。山崎製パンの子会社のため単体判定だが、366.32億円で300億超は維持され判定は○のまま。ただし300億まで約66億円しか余裕がなく、期によ
1396,株式会社宝幸,6010701019753,367.0,G列,22.3,367億円（2026年3月期・単体）,○ 妥当：自社HP会社概要で2026年3月期（2025年4月1日〜2026年3月31日）売上高367億円を再現確認。ニッポンハム（日本ハム）グループの子会社だが、§3-3の要求どおり単体367億円で300億以上のためOK（グループ連結値は不使用）。決算期は最新期で鮮度問題なし。採用値450億円未満のため薄マージン。
1924,株式会社日本財託,9011101016421,367.2,G列,22.4,"367億2,000万円（2025年9月期・単体）","○ 妥当：自社HP会社概要で2025年9月期の連結売上高433億7,400万円と、その内訳の日本財託（単体）367億2,000万円・日本財託管理サービス65億5,000万円・Beans Trust賃貸保証2億5,600万円を確認。対象法人は日本財託グループの親会社で単体でも300億円超。2026年9月期は未了のため2025年9月期が最新（§3-8適合）。ただし単体は基準まで67億円しか余裕がなく、"
2893,中部水産株式会社,3180001022262,367.61,I列(訂正),22.5,361.46億円（2024年3月期・単体）,"○ 妥当（G列訂正：最新は2026年3月期の単体〔非連結〕売上高367億6,092万円＝367.61億円〔2026/5/15決算短信〕。G列の361.46億円・2024年3月期は古い値で、+1.7%の前期＝2025年3月期の数値とも紛らわしい）。名古屋市中央卸売市場の卸売業者で上場〔8145〕、単体決算のため§3-3は問題なし。基準比+22%で余裕は薄い。"
143,株式会社北電子,1013301016233,368.0,G列,22.7,368億円（2025年3月期）,○ 妥当：自社HP企業情報の売上高368億円（2025年3月期）を確認。北電子ホールディングスの子会社だが、当社自体の売上高368億円が300億以上のため§3-3をクリア（グループ連結流用ではない）。※2026年3月期は自社サイト未更新で直近3期以内の判定。売上は2023/3期354億→2024/3期442億→2025/3期368億と期による振れが大きく、450億未満の薄マージン。
1573,株式会社東洋シート,6120001067789,368.0,G列,22.7,368億円（2025年度・単体）,○ 妥当（親子判定を訂正：1次の「上場親会社」は誤り）。当社は未上場で、株式会社TOYO H&I（2019年設立の持株会社）が株式を保有する子会社。2026年8月にタチエス(7239)が新設「タチエス トーヨー グループホールディングス」を子会社化し当社もその傘下に入った（2026/4/10適時開示）。§3-3により単体300億以上が要件。TOYO H&Iは東洋シートとToyo Seat USA/
3684,株式会社北電子ホールディングス,4013301022096,368.0,G列,22.7,368億円（2025年3月期・グループ）,○ 妥当：自社ドメイン内の採用サイト（§5-3-9の承認ソース）で北電子グループ売上高が2023年3月期354億円／2024年3月期442億円／2025年3月期368億円と確認でき、G列の368億円（2025年3月期）と一致。持株会社のため§3-3によりグループ値でOK。ただし①368億円は300億に対し余裕が小さい、②『グループ売上高』であり連結か単純合算かの明示がない、③2026年3月期の値が
855,アグレ都市デザイン株式会社,8012401019024,368.39,G列,22.8,368.39億円（2026年3月期・単体）,"○ 妥当：上場親会社（3467）。36,838,540千円＝368.39億円の桁検算OK（2026年3月期・単体）。同期の連結売上高369.75億円（前期比20.3%増、決算補足説明資料）とほぼ一致し整合。ただし基準300億に対する余裕は68億と薄く、住宅市況次第で基準割れの可能性があるため次期決算で再確認推奨。"
597,アイコム株式会社,1120001019349,369.59,G列,23.2,369.59億円（2026年3月期・連結）,"○ 妥当：アイコム株式会社（東証プライム6820／大阪市平野区）。2026年3月期の連結売上高36,959百万円＝369.59億円（前期比30.7%増）を自社IR決算資料で確認。桁検算済み（36,959百万円→369.59億円）。上場親会社のため連結採用可。ただし基準300億に対し約70億の薄マージンで、単体値は連結を下回るため単体基準では未確認。同社IRには子会社決算公告ページもあり。"
479,旭化成住工株式会社,5160001010473,370.0,I列(訂正),23.3,370億円（2025年度・単体）,○ 妥当（G列訂正：370億円→354億円（2025年3月期・単体））：株式会社。旭化成ホームズの子会社だが単体で300億超のため§3-3を満たす。G列の「370億円（2025年度）」は金額をシード指定してもどの系統からも再現されず、1次と今回の独立2系統がともに「354億円（2025年3月）」を返した。370億は1次値の誤りと判断し、354億（2025年3月期・単体）に訂正する。354億でも30
2003,株式会社ライオン事務器,1122001014313,370.22,G列,23.4,370.22億円（2025年9月期・連結）,"○ 妥当（2次検証で再現確認済）：2025年9月期決算短信（2025年11月14日開示・東証スタンダード 証券コード423A）で連結売上高370億22百万円（前期比+6.1%）、営業利益11億89百万円、経常利益12億75百万円、親会社株主帰属当期純利益9億12百万円を独立検索で完全再現。桁検算OK（37,022百万円＝370.22億円）。独立系の上場親会社のため§3-3で連結採用可。2026年9"
1799,北雄ラッキー株式会社,4430001015181,371.99,G列,24.0,371.99億円（2026年2月期・単体）,"○ 妥当：北雄ラッキー(株)【2747・東証スタンダード】は独立系上場親会社。2026年2月期 売上高371億9,900万円（非連結＝単体、37,199,649千円）を確認。流通スーパーニュース（372億円・0.8%増）および日本経済新聞の26年2月期決算記事とも一致。G列の桁・決算期・単体表記いずれも正。ただし採用値371.99億円は基準300億円に近く（+24%）、来期減収時は要再判定。"
1868,株式会社リョーキ,9240001012607,372.0,G列,24.0,372億円（2025年6月期・単体）,"○ 妥当：自社HP会社概要の売上高372億円（2025年6月決算）・従業員1,100名（2025年6月現在）・自己資本255億円・設立1965年9月13日を独立に再現。広島市西区大芝の建設機械レンタル業で所在地・事業内容が一致し、法人番号9240001012607で同名他社（例:3180301032977）との取り違えなし。前回の持株会社懸案は決着：株式会社リョーキホールディングス（法人番号524"
2007,泉株式会社,8120001059611,372.0,G列,24.0,372億円（2025年10月期・連結）,○ 妥当：2025年10月期の連結売上高372億円（連結取扱高532億円、連結経常利益55.9億円、連結従業員686名）を自社HP会社概要／会社案内PDFで確認。商社のため取扱高532億円と売上高372億円が併記されるが、G列は正しく「売上高」を採用しており§3-7に適合。対象法人は約20社のグループ会社を統括するヘッドクォーター機能を持つ親会社であり、§3-3により連結300億超でOK（単体13
3401,株式会社アペックス,5010001010216,372.0,I列(訂正),24.0,372億円（2025年12月期・グループ）,○ 妥当（G列訂正：372億円は単体でなく合算値。ただし重い残疑あり、架電前の再確認を推奨）。①自社HPグループページの注記「株式会社アペックスの社員数・売上高はアペックス西日本を含んだ数字です」を独立に再確認。372億円は対象法人単体ではなくアペックス＋アペックス西日本の合算値であり、§3-3の「親会社ならグループ値で可」を前提にしてのみ成立する。基準300億に対する余裕は+24%しかなく、アペ
3478,株式会社アペックス,1180001092373,372.0,G列,24.0,372億円（2025年12月期・グループ）,"○ 妥当：法人番号1180001092373＝愛知県大府市柊山町の株式会社アペックス（設立1963年2月・資本金5,000万円）で自社サイトの主体と一致。会社概要の売上高372億円は2025年12月末時点でアペックス西日本を含むグループ合算値。対象はアペックスグループの中核親会社のため§3-3で可。単体値は非開示のため、親会社であることが前提の可。"
3456,株式会社北海道新聞社,3430001022088,372.97,I列(訂正),24.3,372億円（2025年3月期・単体）,"○ 妥当（G列訂正：372.97億円（2025年3月期・単体）が正確）：自社プレスリリース「2025年3月期決算等について」（2025年6月3日）で売上高372億9,700万円・前期比1.3%増、経常利益19億2,500万円・3期ぶり増益を確認。G列の「372億円」は切り捨て表記。株式会社北海道新聞社（法人番号3430001022088）は親会社で単体値採用のため§3-3問題なし。2025年3月期"
339,株式会社光岡自動車,8230001003153,373.0,G列,24.3,373億円（2025年12月期・連結）,○ 妥当：光岡自動車グループの親会社のため連結値採用可。2025年12月期 単体321億円／連結373億円を自社サイト会社情報で確認、G列と一致。ただし連結でも373億円、単体は321億円と300億に近い薄マージン。従業員は単体485名／国内グループ601名（2025年12月末）。
798,マーレジャパン株式会社,8013301007523,373.0,G列,24.3,373億円（2024年度・単体）,○ 妥当：自社サイト（MAHLE Japan公式）で2024年度実績 売上高373億円・従業員890名（2025年12月時点）を再現確認。独MAHLE GmbHの子会社だが単体373億円≥300億のため§3-3の子会社要件を充足。ただし採用値は450億未満で基準までの余裕が小さく、決算期表記が「2024年度」で最新期への更新有無は要注視。
2190,株式会社三徳,6011101007919,373.0,G列,24.3,373億円（2025年2月期・単体）,○ 妥当（数値未再現・原典確認を強く推奨）：法人番号6011101007919は新宿区の食品スーパー三徳で公式サイトsantoku.co.jpと一致。レアアースの株式会社三徳（santoku-corp.co.jp）・三徳商事とは別法人で§6-2の取り違えなし。2026年7月現在34店舗で事業継続中。ただしG列の373億円（2025年2月期）はドメイン限定を含む3回の再検索でも承認ソースから再現でき
1264,クリエイト株式会社,7120001042923,373.23,G列,24.4,373.23億円（2026年3月期・連結）,"○ 妥当：上場の親会社（3024）。2026年3月期決算短信（2026/5/15開示）の存在を確認、連結売上高37,323百万円＝373.23億円（桁検算OK）。同期第3四半期累計279.81億円（+2.5%）とも整合し、通期373億円は妥当。300億超だが余裕は約73億円と薄いため、期ずれや基準変更には要注意。"
1781,株式会社中村屋,6011101015442,373.51,G列,24.5,373.51億円（2026年3月期・単体）,"○ 妥当：2026年3月期決算短信（日本基準・非連結）で売上高373億51百万円（前期比+0.3%）、営業利益13億24百万円（+23.7%）を再現確認。37,351,144千円＝373.51億円の桁検算一致。東証上場（2204）の親会社で、連結子会社を持たない非連結決算のため単体値の採用が正当（§6-4の取り違えなし）。採用値373.51億円は450億未満のため薄マージン行として計上。"
1995,株式会社ヨンキュウ,5500001015561,374.78,G列,24.9,374.78億円（2026年3月期・単体）,"○ 妥当：桁検算OK（37,478,146千円＝374.78億円）。東証スタンダード上場9955の独立系親会社で、§3-3の子会社制約に該当しない。2026年3月期決算短信（2026年5月7日）で連結売上高476.76億円（前期比+6.2%）を確認しており、単体374.78億円との大小関係も整合。単体・連結いずれでも300億基準を満たす。出典のgBizINFO掲載EDINET有報は承認ソース。"
3667,株式会社カーブスホールディングス,5070001005771,375.66,G列,25.2,375.66億円（2025年8月期・連結）,"○ 妥当：2025年8月期連結売上高375.66億円（37,566百万円）。会社公表の2026年8月期予想413億円・前期比+9.9%から逆算しても375.7億円前後で整合し、決算期も一致。東証プライム上場の親会社（7085）のため連結値採用は§3-3に適合。ただし300億基準に対する余裕は約76億円と薄い。"
12,綿半ソリューションズ株式会社,4100001025387,376.34,G列,25.4,376.34億円（2026年3月期・単体）,"○ 妥当：出典が綿半HDの有価証券報告書「関係会社の状況」＝承認ソース②で、子会社単体値を親の連結値と取り違えていない（§6-4クリア）。綿半HDの2026年3月期連結売上高が1,354.51億円であること、および綿半ソリューションズが「売上高（内部売上高を除く）の連結売上高に占める割合が10%超」の関係会社として有報に記載されていることを確認でき、単体376.34億円という規模感と矛盾しない。単"
1698,株式会社松屋,1010001034945,377.35,G列,25.8,377.35億円（2026年2月期・単体）,"○ 妥当（G列裏取り完了）：2026年2月期決算短信で連結売上高457億600万円（前期比▲5.0%）と百貨店業セグメント377億4,100万円を確認。G列の単体377.35億円＝37,735百万円はセグメント37,741百万円と別値であり、単体値として整合する。1次が挙げた単体/セグメント混同の疑いは解消。松屋は独立上場親会社のため連結457.06億・単体377.35億のいずれでも基準クリアで判"
827,株式会社野嵩商会,3360001009464,378.0,G列,26.0,378億円（2025年3月期・単体）,○ 妥当：株式会社・独立系（親子関係なし）で、378億円（2025年3月期）は自社HP会社概要のほか流通専門メディア記事でも同一決算期・同額が再現でき単体値として整合。ただし基準300億に対する余裕は78億と薄く、最新期（2026年3月期）は未公表のため次回更新時に再確認推奨。
963,東京製綱株式会社,7010001034997,379.71,G列,26.6,379.71億円（2026年3月期・単体）,"○ 妥当（G列訂正の疑い）：反証を試みたが判定は覆らず。東証プライム上場（5981）の親会社であり§3-3で連結採用可。連結は2026年3月期中間303.6億円・通期予想640億円（2025/11/12開示の第2四半期決算短信／決算説明会資料）で300億を大きく超過するため○は堅い。一方G列の単体379.71億円（37,971百万円）は金額をシードした検索でも承認ソースから一度も再現できず、1次J"
2009,株式会社ムラサキスポーツ,1010501033760,380.0,G列,26.7,380億円（2026年3月期・単体）,"○ 妥当：自社HP会社情報に2026年3月期の年商380億円、従業員2,036名（2026年3月31日現在）と明記。ムラサキホールディングス（2012年4月設立）の子会社だが対象法人自身の値であり単体380億円で§3-3を満たす。決算期は最新（§3-8）。法人番号1010501033760がgBizINFOの株式会社ムラサキスポーツ（東京都台東区上野）と一致（§6-2）。連結・グループ値の流用なし"
3297,株式会社日新,2270001003832,380.0,G列,26.7,380億円（2026年3月末実績・単体）,○ 妥当：日新ホールディングス株式会社傘下の子会社（鳥取県境港市・合板製造、国内シェア約3割）だが、採用値380億円は同社単体値のため§3-3を充足。グループ連結は726億円（2025年3月期）・835億円（2024年3月期）で、380億円がグループ値ではないこと、および上限チェック（380<726）の整合を確認。ただし380億円自体は自社グループサイトの当該社ページ以外で再現できず、数値の再確認
3468,三友通商株式会社,9290001041205,380.0,G列,26.7,380億円（2026年3月末・グループ）,"○ 妥当：法人番号9290001041205＝三友通商株式会社（福岡県筑紫野市）で一致。三友グループの中核親会社。自社採用ページには「グループ合計 従業員1,503人・年商368億円（2025年3月末現在）」の記載で、G列の380億円（2026年3月末）も同種のグループ合算値。いずれも300億超で判定不変。単体値は非開示のため親会社前提での可。"
1110,東洋埠頭株式会社,7010001034865,380.79,I列(訂正),26.9,380億円（2026年3月期・連結・営業収益）,"○ 妥当（G列訂正：380.79億円と小数まで確定）。2026年3月期の連結営業収益38,079百万円＝380.79億円（前期比+8.49%）、親会社株主に帰属する当期純利益14.66億円（+30.43%）を確認し、G列の380億円と整合（3,807,900万円→380.79億円で桁検算済み）。親子判定を反証側から当たったが、東洋埠頭を連結子会社とする親会社は検出されず、2023年10月に東証プラ"
3416,株式会社山田製作所,9070001016708,381.0,I列(訂正),27.0,381億円（2026年4月1日現在・単体）,"○ 妥当（G列訂正：決算期表記。正しくは「381億円（2025年度実績・単独）」。G列の『2026年4月1日現在』は自社会社概要の掲載基準日であって決算期ではない）：株式会社山田製作所（群馬県桐生市広沢町1-2757、法人番号9070001016708）。自社会社概要PDFで売上高381億円（2025年度実績）・資本金20億円・従業員1,250名（2026年3月末現在）・四輪/二輪機能部品を再現確"
4178,ＤＮホールディングス株式会社,8010001219795,381.0,I列(訂正),27.0,369.7億円（2025年6月期・連結）,○ 妥当（G列訂正：最新期は2026年6月期・連結381億円。G列の『369.7億円（2025年6月期・連結）』は前期値）：反証検証で2026年6月期通期実績（2026年8月開示）を確認。連結売上高381億円・前期比2.9%増（369.75×1.029≒380.5で桁検算一致）、連結子会社の橋梁耐震補強設計業務の誤り発覚に伴う完成業務補償引当金計上で営業減益。同社が2026/8/26にTDnetで
3367,コムチュア株式会社,3010701015193,381.09,G列,27.0,381.09億円（2026年3月期・連結）,"○ 妥当：東証プライム上場（3844）で、持株会社移行（コムチュアHD化）は確認されず商号は「コムチュア株式会社」のまま＝親会社のため連結値採用可（§3-3）。2026年3月期連結売上高38,109百万円＝381.09億円を、通期決算報道および中間決算短信（上期186.52億円・+4.8%）と整合確認。ただし基準300億に対し余裕約27%で薄い。"
2865,ＩＣＤＡホールディングス株式会社,2190001006257,381.81,G列,27.3,381.81億円（2025年3月期・連結）,"○ 妥当：2025年3月期連結売上高38,181百万円＝381.81億円。2026年3月期第1四半期決算短信の通期予想「385億円（前期比0.8%増）」から逆算した前期実績381.8億円と整合し、数値を再現できた。持株会社のため§3-3で連結値OK、§3-8の直近3期内。ただし基準比+27%で余裕は薄く、2026年3月期実績の確認が望ましい。"
2186,株式会社長野県Ａ・コープ,8100001027883,382.0,G列,27.3,382億円（2024年3月期・単体）,"○ 妥当（G列訂正確定：379億円・2026年3月期・単体）：自社HP会社概要の最新掲載値が「売上高379億円・従業員2,100名（パート含む）・2026年3月現在・県内30店舗」であることを独立検索で再現し確認。G列の382億円（2024年3月期）は旧年度値のため訂正が必要。県内JAおよび全農の出資会社で子会社にあたるが単体379億円で300億超（§3-3適合、グループ値は不使用）。基準に対する"
3427,マルイ食品株式会社,9340001011838,382.0,I列(訂正),27.3,435億円（2025年度・単体）,"○ 妥当（G列訂正：正しくは「約382億円（2023年度＝2024年2月期・単体）」。G列の『435億円（2025年度）』は承認ソースで再現できず、金額シード検索でも一度も返らなかった）：マルイ食品株式会社（鹿児島県出水市、法人番号9340001011838）。マルイ農協グループ公式PDF「関連会社一覧」に資本金1億円・年間売上約382億円・従業員1,360名（2024年2月末）と明記。グループ連"
357,大塚化学株式会社,9120001077380,382.26,I列(訂正),27.4,813.01億円（2025年度・連結）,"○ 妥当（G列訂正：判定値は単体382.26億円（2025年度）を採用すべき。G列の813.01億円は大塚化学サブグループの連結値）：大塚ホールディングス傘下の子会社であり§3-3で連結値は使用不可。単体38,226百万円＝382.26億円で300億以上のため架電可否は○。連結は81,301百万円＝813.01億円。自社HP会社概要で確認。300億まで82億の薄マージン。"
16,アオイ電子株式会社,3470001000263,383.23,G列,27.7,383.23億円（2026年3月期・連結）,"○ 妥当：2026年3月期決算短信（2026年5月8日）の連結売上高38,323百万円＝383.23億円を確認でき、G列・H列の金額・決算期・連結の別・開示日、さらにH列のURLまで検索結果と完全一致。桁の検算も一致（38,323百万円÷100＝383.23億円）。内訳（集積回路33,874百万円＋機能部品4,445百万円＝38,319百万円、ほぼ一致）とも整合。上場企業・株式会社・承認ソース②（"
1104,鉄道情報システム株式会社,6011001029641,383.38,I列(訂正),27.8,383億円（2025年度・単体）,"○ 妥当（G列訂正：383.38億円（2026年3月期・単体）と桁まで確定）。1次の弱点＝383億と一致するのがマイナビ（禁止ソース§3-4）とcatr.jp（§7-1で承認可否が未確定）のみ、を解消した。gBizINFO（承認ソース§3-4③・§5-3⑦の公的機関）に前期2025年3月期の売上高354億円が掲載されており、これ単独で300億を超える。さらに2026年3月期383億3,800万円は"
342,セキスイハイム中部株式会社,9180001031803,383.5,G列,27.8,383.5億円（2025年度）,○ 妥当：積水化学工業100%子会社だが、自社HP会社概要（816chubu.jp/company/）に売上高383.5億円（2025年度）の記載があることを確認。承認ソース（自社公式サイト）に該当し、子会社単体300億以上の要件を満たす。判定○は妥当で架電してよい。留意点として300億をわずかに超える水準であり、採用媒体側では「セキスイハイム中部グループ」名義で同社を扱っているため、383.5億
1915,東洋メビウス株式会社,9010701017036,383.53,G列,27.8,383.53億円（2026年3月期・単体）,"○ 妥当：東洋製罐グループHD子会社だが自社HP企業情報ページ（実在確認）と採用『数字で見る東洋メビウス』（§5-3⑨）で単体売上高を開示。別途375億2,483万円という単体値も確認でき、G列383.53億円（＝38,353百万円、§6-1検算OK）は近接する別期の値として整合。全国22拠点・自社含む1,700台体制の物流会社として規模も整合。単体300億超でOK。"
2192,株式会社ハーモニック,2110001015042,384.0,G列,28.0,384億円（2025年度・単体）,○ 妥当（G列は訂正せず注記）：カタログギフト最大手（新潟県三条市・12月決算）で単体300億超は動かないため架電可否は○。ただしG列の384億円（令和7年度）は再検索でも承認ソースから再現できなかった。一方で流通する「2024年12月期477億円」はマイナビ・にいがた就職応援団ナビ等の禁止ソース由来で承認ソースの裏付けがなく、これへの差し替えは不可。いずれの値でも300億は超えるが、公式会社概要
2776,シン・エナジー株式会社,3140001020393,384.0,G列,28.0,384億円（2025年度・単体）,"○ 妥当：売上高384億円（2025年度）を確認。法人番号3140001020393がgBizINFOと一致（神戸市中央区御幸通8-1-6 神戸国際会館14階、代表取締役社長 乾正博、資本金5,000万円、従業員140名）。出典の自社HP会社概要ページも実在。再エネ発電・電力小売のため燃料市況で売上が振れやすく、採用値も450億円未満で300億基準に対するマージンが84億円と薄い点は留意。"
4381,株式会社タチヤ,3180001024325,384.0,I列(訂正),28.0,402億円（2025年・単体）,"○ 妥当（G列訂正：正しくは384億円〈2025年3月実績・単体〉。G列の「402億円（2025年・単体）」は承認ソースで再現できず）。自社サイト会社概要に「売上高384億円（2025年3月実績）／従業員939名（パート・アルバイト含む）／資本金3,000万円／愛知14・岐阜7・三重2の計23店舗」を確認。株式会社タチヤは株式会社バローホールディングスの子会社（バロー公式のグループ会社ページに掲載"
1806,株式会社伊藤工務店,8180001018891,385.0,G列,28.3,385億円（2025年5月期・単体）,○ 妥当（証跡訂正）：自社HP会社案内で「売上高385億円（2025年5月実績）」を再現確認。法人番号8180001018891をgBizINFOで照合したところ商号=株式会社伊藤工務店・所在地=愛知県名古屋市中川区小碓通2丁目25番地で、385億円を掲げる会社案内の所在地と完全一致し、全国に10社以上ある同名他社との取り違えなし。株式会社で法人格OK、独立系のため親子論点なし。※1次所見が同定根
531,株式会社ホギメディカル,2010401047109,385.31,G列,28.4,385.31億円（2025年3月期・単体）,"○ 妥当：東証3593・親会社。単体385.31億円（2025年3月期・有報提出会社）は直近3期以内で鮮度OK。最新の2026年3月期は第3四半期累計で連結売上高28,719百万円（前期比4.3%減）＝通期380億円規模の見込みで、いずれも300億超。ただし450億未満で減収基調のため、次期は再判定が必要。"
1744,ネッツトヨタ南海株式会社,2120101005545,385.34,G列,28.4,"385億3,400万円（2025年3月期・単体）","○ 妥当（反証検証済み）：自社HP企業情報を独立に再検索し、売上高385億3,400万円（2025年3月期）を代表取締役社長 久保尚平・設立昭和42年11月・従業員442名（2025年4月末）とセットで再現。トヨタ南海グループにはトヨタカローラ南海が別法人・別ページで存在し、385.34億は当該法人単体の値でグループ合算ではないことを確認。反証できず○維持。"
759,日本石油輸送株式会社,3010701012439,385.37,I列(訂正),28.5,323.35億円（2026年3月期・単体）,"○ 妥当（G列訂正：2026年3月期の公表値は連結売上高385.37億円（前期比+3.9%、2026年5月13日決算短信）。G列の323.35億円＝32,335百万円はgBizINFO（EDINET）掲載値で、2026年3月期の連結値としては再現できず、単体値または別期の値の可能性）：親子判定は、筆頭株主ENEOSホールディングスの持株比率が29.14%（2025年3月末）で50%未満のため子会社"
3104,株式会社バイク王＆カンパニー,4011001034569,385.74,I列(訂正),28.6,385億円（2025年度・単体）,"○ 妥当（G列訂正：385.74億円（2025年11月期・連結））：東証スタンダード上場3377の親会社で自ら連結決算を開示しているため連結判定可。2025年11月期の連結売上高385億7,400万円（前期比13.6%増）、営業利益5億8,500万円（同104.5%増）、経常利益8億2,900万円（同42.0%増）。G列の『2025年度・単体』は決算期表記と単体/連結の別が誤りで、正しくは2025"
1807,株式会社インテリックス,7011001032594,385.86,G列,28.6,385.86億円（2025年5月期・単体）,"○ 妥当（単体性を追検証）：(株)インテリックスは2025年12月1日の単独株式移転で(株)インテリックスホールディングスの完全子会社となったが、事業会社の商号・法人番号7011001032594は不変で架電先として現存。子会社のため§3-3により連結値は使用不可だが、EDINET有報の提出会社（単体）売上高38,586,322千円＝385.86億円（2025年5月期）で単体300億超。本パスで2"
2078,西川計測株式会社,1010401021428,387.19,I列(訂正),29.1,387.19億円（2025年6月期・単体）,○ 妥当（G列訂正：決算期・金額。387.19億円→452.20億円、2025年6月期→2026年6月期）：1次の387.19億円（2025年6月期・非連結）は正しいが1期前の値。自社IRに2026年6月期決算短信〔日本基準〕(非連結)（2026年8月7日開示）が存在し、売上高452億20百万円＝452.20億円（前期比+16.8%）、営業利益44億33百万円、経常利益47億13百万円（+20.3
887,株式会社学研ココファン,3010701020722,387.9,G列,29.3,387.90億円（2024年9月期・単体）,"○ 妥当：(株)学研ホールディングスの子会社だが、G列はグループ連結（学研グループ2025年9月期連結1,991億円）ではなく親会社有報「主要な損益情報等」の子会社単体38,790百万円＝387.90億円を採用しており§3-3充足。株式会社・桁検算済み。ただし採用が2024年9月期で、より新しい2025年9月期有報（2025/12/18提出済）が存在するため決算期の更新を推奨（直近3期内のため現時"
1426,ＳＦＩリーシング株式会社,8010401089509,388.22,I列(訂正),29.4,417.09億円（2025年3月期・単体）,"○ 妥当（G列訂正：期番号）：決算公告が貸借対照表のみで売上高を含まない可能性を疑ったが、官報収録の第14期決算公告に売上高388.22億円・資産合計1,174.27億円の記載があり、当社の決算公告に損益計算書が含まれることを確認（catr.jpは§7-1により証跡ではなく整合性照合にのみ使用）。採用値417.09億円は第14期388.22億円からの推移として整合。自社PDFは financial"
2728,日産部品近畿販売株式会社,8122001025064,388.9,I列(訂正),29.6,388.90億円（2025年度・単体）,"○ 妥当（G列訂正：数値・決算期の再確認を要す）：日産自動車系の子会社で、自社HP会社概要が当社単体の年間売上高を開示しているためソース種別は適法。ただし本検証では379億3,100万円および2023年度381億4,900万円という値が出て、G列の388.90億円（2025年度）を再現できなかった。いずれの値も300億は上回るため架電可否は○のままだが、400億未満で基準に近い水準であり、正確な期"
1756,株式会社スズキ自販福岡,5290001038337,389.0,G列,29.7,389億円（2026年3月期・単体）,"○ 妥当（G列訂正の疑い：数値・決算期）：G列の「389億円・2026年3月期」は反証側でも今回でも一度も再現できず、代わりに売上高351億円（2025年3月時点）・302億円（2024年3月時点）という整合的な時系列が返った（従業員493名＝2024年4月、資本金5,000万円）。389億は自社HPの最新更新値である可能性も残るが未確認。スズキ100%出資の直営ディーラー＝子会社だが、351億で"
1826,株木建設株式会社,7050001004071,389.0,G列,29.7,389億円（2025年5月期・単体）,"○ 妥当（出典を承認ソースへ差し替え）：売上高389億6,281万円（2025年5月期＝第87期・単体、従業員363名・資本金27億円）を確認。1次は数値提示元がマイナビ（禁止ソース）だったが、本パスで自社HPのIRニュースに第87期（令和7年5月期・自令和6年6月1日至令和7年5月31日）決算公告の掲載を確認。資本金27億円＝会社法上の大会社で損益計算書も公告対象のため、売上高は自社決算公告（承"
