行,取引先ID,法人番号,取引先名,最終判定,G列の訂正指示,I列_検証結果
1870,001Nn00000eVnY0,7010001108330,日軽エムシーアルミ株式会社,架電可,G列要訂正,"○ 妥当（G列要訂正）：日本軽金属ホールディングス傘下の子会社として現存を確認（法人番号7010001108330・東京都港区新橋、日本軽金属メタル合金事業部と三菱商事系エムシーアルミの統合で2007年発足）。ただしG列の『単体575億円・連結1,170億円（2025年度）』はいずれの承認ソースからも再現できず、金額シード検索でも一度も返らなかった＝1次値が誤りの可能性が高い。親会社IR（日本軽金属HD決算説明資料）からは日軽エムシーアルミの売上高として2024年度実績1,038億円／2025年度予想1,088億円（連結）という系統と、2024年度395億円／2025年度予想441億円という系統の二通りが返り相互に不整合。決算公告系（catr.jp）では2024年3月期516.4億円が流通。単一値の特定には至らなかったが、確認できた候補値はすべて395億円以上で300億基準を大きく上回り、300億未満を示す反証は皆無のため判定は○を維持。子会社のため単体値必須につき、G列は自社HP会社概要 https://www.nmca.jp/company/kaisya-gaiyou.html の直読みで単体額と決算期を確定させ記載し直すこと。"
1885,001Nn00000eVnlj,9220001001784,明祥株式会社,架電可（G列訂正あり）,G列訂正,"○ 妥当（出典・G列訂正）：1,254.06億円（第63期＝2026年3月期・単体）。ただし1次が挙げたアルフレッサHD有報「関係会社の状況」は出典として成立しない。明祥1,254億は同HD連結約2.9兆円の約4%にすぎず、有報が単体売上高を載せる基準（主要な損益情報等＝連結売上高の10%超）に届かないため当該欄に金額は記載されない。125,406百万円をシード指定して再検索しても有報は再現せず、代わりに官報決算公告DBの第60期1,051.25億が返った＝実際の出所は官報決算公告（catr.jp／PR TIMES転載）。承認ソース側の裏付けは自社HP代表挨拶「2022年度に売上高1,000億円達成」＋アルフレッサHD公式取材記事「21年度以降前年比5〜8％増で安定成長、北陸3県シェア43%」。この自社HP値は官報第60期（＝2022年度）1,051.25億と一致し期ズレも数値も検算が通る。下限が承認ソース2本で1,000億超と示され300億基準を大きく超えるため○を維持。"
1890,001Nn00000eVnyn,6070001006447,関東いすゞ自動車株式会社,架電可（G列訂正あり）,"G列訂正：824億5,819万円〔2025年3月期・単体〕）：自社ドメイン限定・非限定の2回検索ともG列の「876億7,250万円・2026年3月期」は一度も再現せず、会社概要およびサステナビリティレポート20","○ 妥当（G列訂正：824億5,819万円〔2025年3月期・単体〕）：自社ドメイン限定・非限定の2回検索ともG列の「876億7,250万円・2026年3月期」は一度も再現せず、会社概要およびサステナビリティレポート2025が一貫して2025年3月期・単体824億5,819万円（従業員979名・2025年4月1日、資本金3億5,000万円）を返す。1次値は承認ソース上に確認できず要訂正。いすゞ自動車の販売子会社だが単体で300億を大幅超のため判定は○のまま。"
1916,001Nn00000eVoLJ,2120001066027,泉州電業株式会社,架電可（G列訂正あり）,"G列訂正：決算期の記載漏れ）：G列「1,355億円（現行・連結）」は決算期が無く§3-8の鮮度判定ができない","○ 妥当（G列訂正：決算期の記載漏れ）：G列「1,355億円（現行・連結）」は決算期が無く§3-8の鮮度判定ができない。正しくは「1,355億円（2025年10月期・連結）」。泉州電業は10月決算で、2026年9月時点の直近確定期は2025年10月期（決算短信ベースで連結1,355億9,100万円、前期比▲0.4%）。自社HP会社概要の連結1,355億円・単体1,282億円はいずれも300億円以上。東証プライム上場（9824）の親会社。"
1920,001Nn00000eVoM4,6120001041612,英和株式会社,架電可（G列訂正あり）,"G列訂正：端数）：EDINET有報の提出会社（単体）売上高45,793,968千円は457.94億円（G列の457.93億円は端数処理差）","○ 妥当（G列訂正：端数）：EDINET有報の提出会社（単体）売上高45,793,968千円は457.94億円（G列の457.93億円は端数処理差）。2026年3月期の連結売上高488億4,600万円（前期比+3.6%）と整合。東証上場（9857）の親会社で単体・連結とも300億円以上。採用値450億円台のため要注視だが基準比で余裕あり。"
1976,001Nn00000eVoyN,1010001008742,ピーエス・コンストラクション株式会社,架電可（G列訂正あり）,"G列訂正：子会社のため単体基準で判定すべき）：2026年3月期売上高1,493億円（前年比＋10.1%）は確認でき、G列の数値・決算期は正しい","○ 妥当（G列訂正：子会社のため単体基準で判定すべき）：2026年3月期売上高1,493億円（前年比＋10.1%）は確認でき、G列の数値・決算期は正しい。ただし同社は2023年12月に大成建設の連結子会社となっており（旧商号「株式会社ピーエス三菱」、社名から三菱を外し2024/7/1に現商号へ変更＝§6-7該当）、§3-3により子会社は単体で判定する必要がある。単体（個別）1,391億円も300億を大幅超過のため架電可否は○のまま。G列は「1,391億円（2026年3月期・単体）※連結1,493.70億円」と記すのが正確。架電時の名乗りは旧社名ピーエス三菱ではなく現商号で。"
2015,001Nn00000eVpTL,7140001077703,株式会社トーホーキャッシュアンドキャリー,架電可（G列訂正あり）,G列訂正：456億円は「単体」ではなく親会社トーホーのIR資料が示すキャッシュアンドキャリー【事業セグメント】売上高,"○ 妥当（G列訂正：456億円は「単体」ではなく親会社トーホーのIR資料が示すキャッシュアンドキャリー【事業セグメント】売上高。同セグメントは当社1社で構成されるとされるが会計上の単体売上高との一致は保証されず、また当該ページに決算期の明示がなく更新時点も不明）。当社は㈱トーホー（東証プライム8142）の子会社のため§3-3で単体300億以上が必要。第13期決算公告（2026年1月31日期）は純利益32億8,400万円・総資産311億2,700万円のみで売上高は非開示。2次検証でも承認ソースからの単体売上高は得られず。ネット流通の393.74億円はYahoo!しごとカタログ・NIKKEI COMPASS等の禁止ソース由来で採用不可（§6-6）。ただし想定しうるいずれの値（約390億〜セグメント約456億以上）でも300億を90億以上上回るため、架電可の結論は反証されない。"
2018,001Nn00000eVpTR,8010401123151,アルテリア・ネットワークス株式会社,架電可（G列訂正あり）,G列訂正：当社は丸紅の連結子会社でTOBにより証券コード4423は上場廃止済み,○ 妥当（G列訂正：当社は丸紅の連結子会社でTOBにより証券コード4423は上場廃止済み。§3-3により子会社に連結値681億円は使用不可で、正しくは単体553億円（2026年3月期）を採用すべき）。2次検証でも2026年3月期の単体553億円は自社HP本文から再現できなかったが、代わりに2024年3月期の連結628億円・単体514億円が確認できた。直近3期以内で承認可能なこの単体514億円だけでも300億基準を214億上回るため、どちらの値を採っても判定は動かず架電可を維持。架電前に会社概要ページ https://www.arteria-net.com/company/information/ の直接確認を推奨。
2020,001Nn00000eVpTb,2220001004983,日成ビルド工業株式会社,架電可（G列訂正あり）,G列訂正：443.53億円は承認ソースで再現できず、H列の出典記述も疑わしい）：スペースバリューHD完全子会社だが単体で複数期にわたり300億超が確認できるため架電可、判定は○のまま,"○ 妥当（G列訂正：443.53億円は承認ソースで再現できず、H列の出典記述も疑わしい）：スペースバリューHD完全子会社だが単体で複数期にわたり300億超が確認できるため架電可、判定は○のまま。ただしG列の44,353百万円＝443.53億円は、金額をシード指定した検索を含め計3回試して一度も返らない。nisseibuild.co.jpドメイン限定検索でも会社概要ページから返るのは設立1961年7月3日・本社石川県金沢市金石北3-16-10・従業員541名（2019年4月現在）のみで、売上高の記載が確認できない（従業員が2019年時点表記＝ページが古い）。H列の「自社HP会社概要で2025年3月期売上高44,353百万円を直接開示」という記述自体が裏取りできない。承認ソースで確認できた単体値は自社HP電子公告の第64期決算公告（2023年3月期）38,830百万円＝388.30億円、および2024年3月期の約397.5億円で、いずれも300億超のため架電可否は変わらない。最新の第66期決算公告（2025年3月期・2025年9月30日掲載 koukoku20250930.pdf）が自社電子公告ページに存在するので、G列はその実値で確定させること。"
2036,001Nn00000eVpZa,4040001046951,ＴＯＴＯバスクリエイト株式会社,架電可（G列訂正あり）,G列訂正：775億円・2025年度 → 789.14億円・2024年3月期・単体）：TOTO全額出資子会社だが単体で789億円規模のため§3-3の子会社基準（単体300億以上）を大幅に満たし架電可,"○ 妥当（G列訂正：775億円・2025年度 → 789.14億円・2024年3月期・単体）：TOTO全額出資子会社だが単体で789億円規模のため§3-3の子会社基準（単体300億以上）を大幅に満たし架電可。判定は○のまま不変。ただしG列の「775億円（2025年度・単体）」は金額をシード指定した検索でも一度も返らず、代わりに複数経路で一貫して自社HP会社概要の売上高78,914,000,000円＝789.14億円（2024年3月）・資本金1億円（TOTO株式会社全額出資）・従業員533名（2025年4月末現在）が返る。別経路では決算公告由来の78,457,691,006円＝784.58億円も確認。すなわちG列は数値・決算期とも誤りで、正しくは789.14億円（2024年3月期・単体）。2024年3月期は直近3期以内で§3-8の鮮度を満たす。法人番号4040001046951をgBizINFOで照合し同名他社ではないことを確認済み。いずれの値・期をとっても700億円台で300億を大幅超過。"
2058,001Nn00000eVqCn,4010401072162,コクヨマーケティング株式会社,架電不可（元△判定が妥当と確認）,G列訂正：G列は「確認不可」のままで○と矛盾,"○ 妥当（G列訂正：G列は「確認不可」のままで○と矛盾。766.47億円（第52期・単体）を記入すべき）：反証を試みたが覆らず。①親会社コクヨの有価証券報告書「関係会社の状況」に、コクヨマーケティング㈱について『売上高（連結会社相互間の内部売上高を除く）の連結売上高に占める割合が10％を超えている』旨の注記があることを再確認（2023年12月期版で確認）。コクヨ連結売上高は3,300億円超のため単体の下限は330億円超となり300億円基準を充足（下限証明）。②独立系統として官報決算公告 第52期＝売上高766億4,700万円（前年比+6.13％、営業利益37.81億円、純利益35.88億円）を確認。766.47億円はコクヨ連結の約22％で①の『10％超』注記と整合し、桁も検算済み。※②の出典は官報二次DB（§7-1未決着）のため判定の主根拠は①の下限証明とし、②は整合性の裏付けとして扱う。"
2078,001Nn00000eVqK3,1010401021428,西川計測株式会社,架電可（G列訂正あり）,G列訂正：決算期・金額,○ 妥当（G列訂正：決算期・金額。387.19億円→452.20億円、2025年6月期→2026年6月期）：1次の387.19億円（2025年6月期・非連結）は正しいが1期前の値。自社IRに2026年6月期決算短信〔日本基準〕(非連結)（2026年8月7日開示）が存在し、売上高452億20百万円＝452.20億円（前期比+16.8%）、営業利益44億33百万円、経常利益47億13百万円（+20.3%）、受注高483億51百万円。387.19×1.168=452.24で1次値と内部整合し、桁検算も一致（§6-1）。東証スタンダード7500の非連結（子会社なし）単独決算会社で親子判定の疑いなし。採用値を最新期に更新すると基準300億の1.51倍となり余裕は薄くない。
2081,001Nn00000eVqKz,4070001018972,関東建設工業株式会社,架電可（G列訂正あり）,G列訂正：決算期が特定不能,"○ 妥当（G列訂正：決算期が特定不能。「2025年3月期」の裏付けなし）：反証検索で自社採用ページ kanto-k.co.jp/recruit/about-kanken/ の817億円を再現できたが、同ページに決算期の明記がなく、検索経路により「2023年3月期の817億円」と「2025年3月期の817億円」の2説が並立し確定できない。同ページはグループ連結売上高1,000億円超・グループ連結社員約500名も併記。群馬県太田市の総合建設業でM&Aにより地方建設会社を傘下に持つグループ親会社であり（自社HP関連会社ページ）、§3-3の親会社扱いで連結可。単体817億／別情報の単体588.83億／連結1,000億超のいずれの解釈でも基準300億を大幅超過し判定は反転しないため○維持。ただし§3-8の鮮度（直近3期以内か）は未確定のまま残る。"
2112,001Nn00000eVqvt,9030001000566,株式会社アイダ設計,架電可（G列訂正あり）,"G列訂正：単体→連結、金額578億→578.58億円、決算期は2026年3月期）：2026年3月期決算短信（東証スタンダード2990）で連結売上高57,858百万円＝578.58億円（前期比▲7.1%）、営業利","○ 妥当（G列訂正：単体→連結、金額578億→578.58億円、決算期は2026年3月期）：2026年3月期決算短信（東証スタンダード2990）で連結売上高57,858百万円＝578.58億円（前期比▲7.1%）、営業利益4億33百万円（前期は7億04百万円の営業損失）、2027年3月期予想615.38億円を確認。57,858百万円→578.58億円の桁検算一致（§6-1）。自社HPの「2025年度売上高578億円」は3月決算のため2026年3月期を指し決算期表記自体は誤りでないが、連結値578.58億円と一致するため「単体」の表記が誤りである可能性が高い。同社は持株会社を持たない上場親会社（アイダ設計グループの中核）で§3-3により連結値で判定可。基準300億の1.93倍で反転余地なし。"
2115,001Nn00000eVqwH,7010001104899,キリングループロジスティクス株式会社,架電可（G列訂正あり）,G列訂正：キリンHDの連結子会社のため§3-3により単体判定が必要）,○ 妥当（G列訂正：キリンHDの連結子会社のため§3-3により単体判定が必要）。官報決算公告ベースの単体売上高は762.15億円（2025年12月期／12月決算末日）で、G列の「768億円（2025年度・連結）」とは約6億円の差異があり、単体/連結の別も要修正。ただし単体762.15億円・自社HP会社概要768億円のいずれも300億円を大きく超えるため架電可否は○のまま。法人格＝株式会社でOK。検索上位はマイナビ/Yahoo!しごとカタログ/OpenWork等の禁止ソースが多く、承認ソースは自社HP会社概要と官報決算公告（catr.jp収録・§7-1確認待ち）。
2132,001Nn00000eVr10,6080101001529,ネッツトヨタ静岡株式会社,架電可（G列訂正あり）,G列訂正：正しくは312億円〈2025年3月期・単体〉,"○ 妥当（G列訂正：正しくは312億円〈2025年3月期・単体〉。1次の316億円は再現できず）。反証検索で自社HP会社概要（netz-shizuoka.net/company）由来の数表が「売上高312億円（2025年3月実績）／従業員473名（2025年3月現在）／資本金4億9,000万円／決算期3月／本社 静岡県沼津市本丸子町752-6」として整合的に再現された。一方、1次値316億円をシード指定した自社ドメイン限定検索では一度も返らず、§6.1の「シード値が返らず別の整合的な数表が返る＝1次値が誤りの強い信号」に該当。ウエインズグループ傘下の子会社のため§3-3で単体判定が必要だが、312億円でも300億円は上回るため架電可否は○のまま。ただし余裕は12億円と本ブロック最薄であり、2026年3月期で300億円を割る現実的な可能性がある。次期決算での再確認を必須とすべき。"
2136,001Nn00000eVr1j,7480001000861,株式会社ジャストシステム,架電可（G列訂正あり）,G列訂正：単体→連結、決算期表記の明確化）：2026年3月期決算短信〔日本基準〕（連結・2026年5月14日開示）で連結売上高515.15億円（+15.6%）、営業利益224.92億円を確認,○ 妥当（G列訂正：単体→連結、決算期表記の明確化）：2026年3月期決算短信〔日本基準〕（連結・2026年5月14日開示）で連結売上高515.15億円（+15.6%）、営業利益224.92億円を確認。G列「515億円（2025年度・単体）」の金額と期間（2025年度＝2026年3月期）は正しいが、単体ではなく連結が正当。正しくは「515.15億円（2026年3月期・連結）」。東証上場（4686）でキーエンスの持株比率は50%未満（持分法適用関連会社）のため連結子会社ではなく、連結値の採用に§3-3上の問題はない。
2149,001Nn00000eVrTH,3010001139107,日鉄鋼板株式会社,架電可（G列訂正あり）,"G列訂正：1,414.73億円（2026年3月期・連結）／単体は2025年3月期1,569億円）","○ 妥当（G列訂正：1,414.73億円（2026年3月期・連結）／単体は2025年3月期1,569億円）。架電可否は○のままだが、G列「約1,600億円（現行会社情報・単体）」は決算期の記載がなく§3-8上そのままでは不可。自社HPの決算発表資料（press_20260514_01.pdf）に2026年3月期 売上高141,473百万円＝1,414.73億円（営業利益6,121百万円・経常利益6,629百万円・当期純利益5,385百万円）とあり、これが直近値。141,473百万円＝1,414.73億円の桁検算OK。日本製鉄グループの子会社だが、単体・自社連結いずれの水準でも300億を大きく超えるため判定は○で変わらない。"
2158,001Nn00000eVrWu,7010401022924,ＮＥＣネクサソリューションズ株式会社,架電可（G列訂正あり）,G列訂正：979億円は承認ソースで再現できず,"○ 妥当（G列訂正：979億円は承認ソースで再現できず。最も裏付けのある値は777.31億円〈前年度比+36.61億円〉）。2次検証で「979億円」をシード指定して2クエリ当てたが一度も返らず、代わりに自社採用サイト「数字で見る」（saiyo.nec-nexs.com、§5-3ルート9の自社ドメイン）と官報決算データベースが揃って777.31億円を示した。§6-1の桁誤りではなく1次値そのものが誤りである信号。ただし決算期表記が『2025年度』と『2025年3月期（決算末日2025/03/31）』で揺れており、2026年3月期の売上高は承認ソース・二次サイトいずれにも出てこない（1次検証が挙げた542.60億円も再現できず）。§3-8の直近3期以内には収まるが、G列は自社HPまたは官報決算公告の原文で決算期ごと確定させること。なお官報決算データベース（catr.jp）は§7-1で承認可否が未確認のため単独出典にはしないこと。法人格・親子関係は自社HPプロフィールで確認済み（資本金8億1,500万円・NESICホールディングス100%子会社・本社東京都港区芝、法人番号7010401022924一致）。777.31億／542.60億／979億のいずれの候補値でも単体300億を大きく超えるため架電可否は○で変わらない。"
2169,001Nn00000eVrXy,3010401026846,ＦＤＫ株式会社,架電可（G列訂正あり）,"G列訂正：単体496.87億円＝49,687百万円・2025年度／2026年3月期を採用）：FDKは富士通の連結子会社のため§3-3により連結595.61億円は判定根拠に使えない","○ 妥当（G列訂正：単体496.87億円＝49,687百万円・2025年度／2026年3月期を採用）：FDKは富士通の連結子会社のため§3-3により連結595.61億円は判定根拠に使えない。単体496.87億円で300億超のため架電可否は○のまま。連結595.61億円自体は2026年3月期予想600億円（日経報道）と整合し数値は妥当だが、子会社に連結値を当てた§6-4の誤りに該当"
2186,001Nn00000hssym,8100001027883,株式会社長野県Ａ・コープ,架電可（G列訂正あり）,G列訂正,"○ 妥当（G列訂正確定：379億円・2026年3月期・単体）：自社HP会社概要の最新掲載値が「売上高379億円・従業員2,100名（パート含む）・2026年3月現在・県内30店舗」であることを独立検索で再現し確認。G列の382億円（2024年3月期）は旧年度値のため訂正が必要。県内JAおよび全農の出資会社で子会社にあたるが単体379億円で300億超（§3-3適合、グループ値は不使用）。基準に対する余裕が約79億円と薄いため次期要再確認"
2192,001Nn00000hssyu,2110001015042,株式会社ハーモニック,架電可,G列は訂正,○ 妥当（G列は訂正せず注記）：カタログギフト最大手（新潟県三条市・12月決算）で単体300億超は動かないため架電可否は○。ただしG列の384億円（令和7年度）は再検索でも承認ソースから再現できなかった。一方で流通する「2024年12月期477億円」はマイナビ・にいがた就職応援団ナビ等の禁止ソース由来で承認ソースの裏付けがなく、これへの差し替えは不可。いずれの値でも300億は超えるが、公式会社概要ページの原典で金額と決算期の確定を推奨
2214,001Nn00000hstEi,7110001007027,三幸製菓株式会社,架電不可（元△判定が妥当と確認）,G列訂正：562億円〈2025年9月期・単体〉）,○ 妥当（G列訂正：562億円〈2025年9月期・単体〉）。1次採用の475億円（2023年9月期）は鮮度が2026年10月に直近3期を外れる古い値。日本食糧新聞・電子版「米菓特集：三幸製菓 主力リニューアルで価値向上」（2026年2月12日）が「前25年9月期決算は前年を超える売上高562億円」と決算期・売上高を明記＝§3-4④の新聞社ソース。同紙2025年2月19日記事の24年9月期526億円とも接続し1次の530億円見込みとも整合。マイナビ掲載の572億円は禁止ソースにつき不採用。判定○は不変（基準300億の1.87倍）。
2224,001Nn00000hstFx,4010001024786,株式会社ドール,架電可（G列訂正あり）,G列訂正：601億円（2026年3月期・単体）,"○ 妥当（G列訂正：601億円（2026年3月期・単体）。原文表記は「売上高」）：自社公式『会社紹介』に売上高601億円（2026年3月期）・従業員177名（2026年4月現在）・資本金8,000万円・設立1982年12月28日と明記、独立2クエリで再現。1次の「営業収益576億円（2025年3月期）」は現行の自社公式記載と一致せず前期値または誤記。Dole International Holdings傘下の子会社だが単体601億で300億以上のため架電可。"
2230,001Nn00000hsteq,6180001043470,ニッカホーム株式会社,架電可（G列訂正あり）,G列訂正：818.8億円（2025年）は承認ソースで再現できず,○ 妥当（G列訂正：818.8億円（2025年）は承認ソースで再現できず。自社採用サイト等で確認できるのは「2024年度・グループ全体711.6億円」（2023年度665.7億円）。いずれも300億超のため架電可否は○のまま。ニッカホーム(株)は2024/1/1に子会社4社（関東・中部・西日本・九州）を吸収合併した親会社であり§3-3でグループ値採用可、合併後は単体に大半が集約）
2250,001Nn00000hsuH6,4011101020543,三井不動産レジデンシャルサービス株式会社,架電可（G列訂正あり）,G列訂正：自社ドメイン採用ページで確認できるのは「2024年度 売上505億円」＝マンション管理414億＋工事関連67億＋その他24億,"○ 妥当（G列訂正：自社ドメイン採用ページで確認できるのは「2024年度 売上505億円」＝マンション管理414億＋工事関連67億＋その他24億。G列の「506億円・2025年度」は決算期が1期ずれ、506億4,500万円はキャリタス就活/catr.jp等の非承認ソース由来の可能性。グループ会社6社は別法人で単体値。いずれも300億超のため架電可否は○）"
2257,001Nn00000hsueQ,5180301012804,カリツー株式会社,架電可（G列訂正あり）,"G列訂正：自社HP『企業データ』では売上高727億円〈2025年3月期〉・従業員2,929名","○ 妥当（G列訂正：自社HP『企業データ』では売上高727億円〈2025年3月期〉・従業員2,929名。G列の「772億円（2026年3月期）」は承認ソースで再現できず、727→772の桁順取り違えの疑いがある）。いずれにせよ単体700億円台で300億基準は明確にクリア。株式会社・存続確認済み。"
2263,001Nn00000hsuec,6190001005354,株式会社ホンダロジスティクス,架電可（G列訂正あり）,"G列訂正：自社HP「財務・業績情報」で確認できるのは2024年度＝単独596億円／連結2,690億円","○ 妥当（G列訂正：自社HP「財務・業績情報」で確認できるのは2024年度＝単独596億円／連結2,690億円。G列の「2025年度」は決算期表記が1期ずれている疑い。単独値を採るのは§6-4上正しく、596億円>300億で架電可否は○。出典は採用ページより財務・業績情報ページが適切。本田技研100%子会社）"
2277,001Nn00000hswEG,4021001041192,株式会社むらせ,架電可（G列訂正あり）,G列訂正：単体と断定できない）,"○ 妥当（G列訂正：単体と断定できない）。出典の自社HP『数字で見るむらせ』は米取扱数量146,251トン・従業員88名と並ぶグループ指標の掲示で、70,278百万円＝702.78億円を単体値と断定できない。88名なら1人当たり8億円で米卸の相場（木徳神糧約3億円）を大きく超える。株式会社むらせホールディングス（3021001041193）が存在し当社は子会社の可能性が高く§3-3で単体値でしか判定不可。前年2024年9月期505億円との情報もあり（自社HPで再現できず出典未確定）、単体・グループいずれで読んでも300億は超える見込みのため○維持。架電前に単体値の確認を推奨。"
2281,001Nn00000hswNX,4410001006868,株式会社伊徳,架電可（G列訂正あり）,G列訂正：決算期は2026年3月期）,○ 妥当（G列訂正：決算期は2026年3月期）。自社HP会社概要の売上高650億円には『※2026年3月決算』の注記があり、1次で指摘した決算期未記載・§3-8鮮度の懸念は解消。株式会社伊徳ホールディングスの100%子会社のため単体値でのみ判定可だが、650億円は「いとく」を秋田・青森等で25店舗運営する事業会社本体の値（別途2024年度653.75億円との情報あり／禁止ソース由来のため参考）。300億基準を大幅にクリア。
2286,001Nn00000hswNc,2290001016634,株式会社ホンダモビリティ九州,架電可（G列訂正あり）,"G列訂正：1,284.58億円（2025年3月期・単体）を採用）：反証を試みたが判定は覆らず","○ 妥当（G列訂正：1,284.58億円（2025年3月期・単体）を採用）：反証を試みたが判定は覆らず。本田技研工業100%子会社のため§3-3により『単体』300億以上が必要だが、単体売上高は約1,280億円＝基準の4倍超で、従業員2,331名（2026年4月1日現在）・九州7県のHonda正規ディーラー（Honda Cars／CAR PLAT）という事業規模とも整合し、300億割れの可能性は実質なし。法人番号2290001016634＝登記所2900（福岡法務局本局）、本社福岡市中央区、設立1985年3月、資本金4億8,300万円で一致。【1次の誤り】1次H列の『2026年3月期 1,253億6,000万円』は金額をシード指定した検索でも一度も返らず、複数検索で一貫して返るのは1,284億5,800万円（2025年3月期）のみ。1次値は再現不能のためG列から外し、2025年3月期値（直近3期以内・§3-8充足）に訂正する。【残る疑問（要注意）】承認ソースの特定に至らず。1次が挙げた官報決算公告は号数・掲載日を特定できず、自社HP企業情報・採用サイト『数字で知る』にも売上高の記載を確認できなかった。1,284.58億円が流通しているのはマイナビ・Wikipedia・OpenWork・NIKKEI COMPASS等の禁止ソース中心（§6-6の加藤化学型パターン）。金額の水準自体は堅いが、先方に出典URLを求められた場合に提示できる承認ソースが無いため、官報決算公告の実物（掲載号）または自社開示の確認が取れ次第、出典を差し替えること。取れない場合は△に倒す余地が残る。"
2289,001Nn00000hswNf,3010901002207,株式会社オオゼキ,架電不可（元△判定が妥当と確認）,G列訂正：1次I列が根拠にした2018年2月期938.40億円・2019年2月期922.91億円は§3-8の直近3期外のため根拠から除外）,"○ 妥当（G列訂正：1次I列が根拠にした2018年2月期938.40億円・2019年2月期922.91億円は§3-8の直近3期外のため根拠から除外）。承認ソース＝自社HP「決算情報」ページに決算公告PDFを自社公開（最新＝2025年5月14日掲載の第67期決算公告。過年度PDFも /financial/assets/pdf/ 配下に実在）。加えて自社HP「月例報告」で月次売上高を毎月自社開示。売上高は約1,000億円規模（東京・神奈川・千葉41店舗、営業利益率5.7%、流通ニュース報道の営業利益55億円と整合）で300億円基準を3倍超過。非上場・2009年MBOで上場廃止のため単体（連結なし）。※G列採用時は決算公告PDFの実数と期を要確認。1,050.81億円をシード指定して検索したが再現せず約1,000億円の整合的数値のみ返るため、1次H列の1,050.81億円は不採用。"
2302,001Nn00000hswO0,8140001012345,兵庫トヨタ自動車株式会社,架電可（G列訂正あり）,G列訂正：決算期の更新と§6-7経営統合の注記が必要）,"○ 妥当（G列訂正：決算期の更新と§6-7経営統合の注記が必要）。兵庫トヨタ自動車株式会社は2026年4月1日付でトヨタカローラ兵庫株式会社と経営統合し「新たな兵庫トヨタ自動車株式会社」として発足（自社HP2026年3月23日付お知らせPDF）。商号は同一で架電時に名乗る社名は存在するが、統合により決算構造・規模が変わっているため、G列の857億2,300万円（2024年3月期）は直近3期以内ではあるものの3期前で最も古く、2026年3月期または統合後の最新値へ更新すべき。売上規模は300億基準を大幅に超過し、統合後はさらに拡大するため架電可否は○のまま。親会社を持たない地場資本ディーラーで親子判定の論点なし。"
2318,001Nn00000ht0Jo,3180001031569,東海旅客鉄道株式会社,架電可（G列訂正あり）,"G列訂正：2026年3月期・連結営業収益は2,006,218百万円＝2兆62.18億円、前期は1,831,847百万円","○ 妥当（G列訂正：2026年3月期・連結営業収益は2,006,218百万円＝2兆62.18億円、前期は1,831,847百万円。1次の1,663,235百万円はこの連結値とも前期値とも一致せず、単体または過年度の値の可能性が高い）。反証検算＝自社IRの2026年3月期決算短信（2026年4月28日開示）。営業収益は鉄道事業会計における売上高相当で、§3-7が銀行の経常収益を採用するのと同じ扱いが妥当。上場親会社のため§3-3で連結300億超可。基準の約67倍で判定は不変。"
2324,001Nn00000ht0Ju,3180301014273,株式会社豊田自動織機,架電可（G列訂正あり）,G列訂正：§3-3の親子判定が変わったため連結値は根拠にできない）,"○ 妥当（G列訂正：§3-3の親子判定が変わったため連結値は根拠にできない）。株式会社豊田自動織機は2026年3月23日にTOBが成立（買付総額約5.9兆円・応募63.60%、日系企業同士で過去最大）、5月12日の臨時株主総会を経て2026年6月1日に東証プライム・名証プレミアを上場廃止し、トヨタ不動産の子会社となった。子会社にグループ連結値は使えないため、G列の連結4兆3,695億円は根拠として不適切。正しくは単体1,289,907百万円＝1兆2,899.07億円（2026年3月期・単体）。単体で基準300億を大幅超過するため架電可否は○のまま。商号変更はなく社名は存続。"
2326,001Nn00000ht0Jx,6020001030402,日総工産株式会社,架電可（G列訂正あり）,G列訂正：874.19億円（2026年3月期・単体）が正）,"○ 妥当（G列訂正：874.19億円（2026年3月期・単体）が正）。自社HP企業情報の会社概要に「売上高87,419百万円（2026年3月期）」と記載（資本金も2026年3月31日現在に更新済み）。G列の873.30億円/2025年3月期は前期値で鮮度が1期古い。NISSOホールディングス（東証プライム9332）の子会社だがG列は単体値であり§3-3クリア。連結1,015.60億円（2025年3月期）を誤って当てていない点は適切。H列の出典URLは採用ページだが、会社概要 https://www.nisso.co.jp/company/overview/ に差し替えるのが正確。"
2330,001Nn00000ht0K1,3010001166927,東京電力パワーグリッド株式会社,架電可（G列訂正あり）,G列訂正：売上高の実額を特定,"○ 妥当（G列訂正：売上高の実額を特定。2026年3月期＝2兆2,943.68億円（2,294,368百万円）、経常利益817.16億円（81,716百万円）。1次は金額を挙げず経常利益からの下限推定に留まっており、§3-7上、利益は売上高の代用にならない）。出典＝東京電力HD公式「2025年度決算について」の会社別計数、および当社が社債発行体として自社サイトで公開する有価証券報告書2025年度（第11期）＝EDINET E32215。子会社だが単体で基準の約76倍。"
