行,取引先ID,法人番号,取引先名,元H判定,最終判定,架電可,I列_検証結果,J列_ソース
1913,001Nn00000eVoKy,2140001088234,アシックスジャパン株式会社,○,架電可,○,"○ 妥当（数値更新推奨）：親会社アシックスの第72期有価証券報告書（2025年1月〜12月）でアシックスジャパン単体売上高127,300百万円＝1,273億円を確認。G列の951.28億円（2024年12月期）は前期値で、§3-8の直近3期以内には収まるため判定は維持だが最新ではない。いずれも子会社単体で300億を大きく超過し○でOK。最新値『1,273億円（2025年12月期・単体）』への更新を推奨。",https://assets.asics.com/system/libraries/4148/%E7%AC%AC72%E6%9C%9F%E6%9C%89%E4%BE%A1%E8%A8%BC%E5%88%B8%E5%A0%B1%E5%91%8A%E6%9B%B8%EF%BC%882025.1.1%EF%BD%9E2025.12.31%EF%BC%89%20.pdf
1914,001Nn00000eVoKz,3120001059624,株式会社読売新聞大阪本社,△,架電不可（△要再確認）,×,△ 妥当：確認不可で正しい。当たった経路＝①自社ドメイン yomiuri.co.jp（クローラ拒否で検索不能） ②官報決算公告DB＝読売新聞グループ本社（2026年3月期 売上高40.77億円の持株会社単体）・読売広告社・大阪読売サービス等は掲載されるが、株式会社読売新聞大阪本社の決算公告は不掲載 ③EDINET（提出なし） ④gBizINFO。流通する2025年度424.55億円（前期比+2.4%・純利益27.0億円）は業界サイト由来で承認ソースではない。グループ本社が毎年公表する基幹3社決算の公式リリース／紙面を直接確認できれば○回収の見込みあり。,https://catr.jp/companies/4e84a/54373 ; https://info.gbiz.go.jp/hojin/ichiran?hojinBango=3120001059624
1915,001Nn00000eVoLF,9010701017036,東洋メビウス株式会社,○,架電可,○,"○ 妥当：東洋製罐グループHD子会社だが自社HP企業情報ページ（実在確認）と採用『数字で見る東洋メビウス』（§5-3⑨）で単体売上高を開示。別途375億2,483万円という単体値も確認でき、G列383.53億円（＝38,353百万円、§6-1検算OK）は近接する別期の値として整合。全国22拠点・自社含む1,700台体制の物流会社として規模も整合。単体300億超でOK。",https://www.toyo-mebius.com/company/; https://www.toyo-mebius.com/recruit/about/data/
1916,001Nn00000eVoLJ,2120001066027,泉州電業株式会社,○,架電可（G列訂正あり）,○,"○ 妥当（G列訂正：決算期の記載漏れ）：G列「1,355億円（現行・連結）」は決算期が無く§3-8の鮮度判定ができない。正しくは「1,355億円（2025年10月期・連結）」。泉州電業は10月決算で、2026年9月時点の直近確定期は2025年10月期（決算短信ベースで連結1,355億9,100万円、前期比▲0.4%）。自社HP会社概要の連結1,355億円・単体1,282億円はいずれも300億円以上。東証プライム上場（9824）の親会社。",https://www.senden.co.jp/company/overview/;https://www.senden.co.jp/financer/data/briefing/trs_202410_241210_jp.pdf;https://www.release.tdnet.info/inbs/140120260604562624.pdf
1917,001Nn00000eVoLT,2010401076867,株式会社エネサンス関東,△,架電不可（△要再確認）,×,"△ 妥当：確認不可で正しい。しかも回収見込みなし（実態は300億未満の公算大）。当たった経路＝①自社HP会社概要 ②親会社（株）エネサンスホールディングス＝2026年3月期 売上高2,165.38億円だが子会社単体には使えない（§3-3） ③官報決算公告DB（HDのみ掲載、エネサンス関東は売上高不明） ④gBizINFO。流通値は196.1億円（2025年3月期・単体）／180億円（2024年3月期・単体）で、いずれも禁止ソース由来だが揃って300億を大きく下回る。承認ソースが出ても×判定になる可能性が高い行。",https://www.enessance.co.jp/kanto/company/ ; https://catr.jp/companies/a2c3e/54982
1918,001Nn00000eVoLb,4011101026111,マーシュジャパン株式会社,△,架電不可（△要再確認）,×,△ 妥当：確認不可で正しい。当たった経路＝①自社HP（marsh.com/jp・ニュースリリース） ②Marsh McLennan本体IR（日本法人単体は非開示） ③官報決算公告：法人番号4011101026111で2024年度・2025年度の決算公告掲載を確認したが売上高欄なし ④EDINET（非上場）。なお「マーシュブローカージャパン（株）第29期・2025年12月期 純利益33.6億円/総資産111.3億円」は法人番号が異なる別法人で当社の数値ではない（§6-2）。,https://prtimes.com/finance/4011101026111/settlement ; https://catr.jp/companies/919c0/3947
1919,001Nn00000eVoLj,2010001017552,斎久工業株式会社,△,架電不可（△要再確認）,×,△ 要再確認：承認ソースの所在は確定。自社HP電子公告に会社法440条3項に基づく第76期（2026年3月期）決算公告PDF（貸借対照表＋損益計算書、2026年6月26日掲載。第73〜76期分を掲載）があり、これは承認ソース（自社公式サイト）。ただしPDF本文の売上高を検索経由で取得できず数値を確定できなかった。流通値は465.05億円（2024年3月期）・375.71億円（2026年3月期）でいずれも300億超だが出典が求人／口コミ媒体のみのため採用不可。PDFを直接開けば即○回収できる最優先行。※新菱冷熱工業と2025年4月17日付で業務提携協議開始（資本関係なし・単体判定に影響なし）。,https://www.saikyu.co.jp/corporate/koukoku/ ; https://www.saikyu.co.jp/news/73-2023-3/ ; https://info.gbiz.go.jp/hojin/ichiran?hojinBango=2010001017552
1920,001Nn00000eVoM4,6120001041612,英和株式会社,○,架電可（G列訂正あり）,○,"○ 妥当（G列訂正：端数）：EDINET有報の提出会社（単体）売上高45,793,968千円は457.94億円（G列の457.93億円は端数処理差）。2026年3月期の連結売上高488億4,600万円（前期比+3.6%）と整合。東証上場（9857）の親会社で単体・連結とも300億円以上。採用値450億円台のため要注視だが基準比で余裕あり。",https://info.gbiz.go.jp/hojin/ichiran?hojinBango=6120001041612;http://eiwa-net.co.jp/toushi/library.php
1921,001Nn00000eVoNS,5120001158374,ラブリー・ペット商事株式会社,○,架電可,○,"○ 妥当：自社HP会社概要（承認ソース）で売上高479億5,586万円・令和7年3月期＝2025年3月期、従業員320名（パート160名）を確認。非上場の株式会社で単体値のため親子問題なし。2026年3月期の更新値は未掲載だが直近3期以内で§3-8適合。",https://www.lovelypet.co.jp/corporate/company/;https://www.lovelypet.co.jp/corporate/history/
1922,001Nn00000eVoNq,1010001090889,ＥＮＥＯＳグローブ株式会社,○,架電可,○,"○ 妥当：ENEOSホールディングス・三井物産・丸紅が出資するENEOSグループ会社（子会社）だが、G列は単体約4,020億円のため§3-3の子会社=単体基準に適合。出典は自社HP会社概要。§6-7の観点で商号変更・合併の事実は確認されず、法人番号1010001090889で法人格の存続を確認。",https://www.eneos-globe.co.jp/corporate/about.html;https://info.gbiz.go.jp/hojin/ichiran?hojinBango=1010001090889
1923,001Nn00000eVoOF,7010601029810,株式会社滝山,△,架電不可（△要再確認）,×,"△ 妥当：確認不可で正しい。当たった経路＝①自社HP takiyama.co.jp（会社概要・沿革に売上高の記載なし。1972年新聞輸送で創業した総合物流会社、東京都江東区新木場、資本金9,000万円） ②官報決算公告DB（会社情報ページは存在するが売上高の記載なし。資本金9,000万円＝大会社に該当せず損益計算書の公告義務がない） ③gBizINFO（法人番号7010601029810は現存、旧商号 滝山運輸株式会社、2024年10月に吸収合併の登記あり／閉鎖表示なし） ④EDINET。資本金規模から300億超は考えにくく回収見込みなし。",http://www.takiyama.co.jp/ ; https://info.gbiz.go.jp/hojin/ichiran?hojinBango=7010601029810 ; https://catr.jp/companies/a9140/128899
1924,001Nn00000eVoOT,9011101016421,株式会社日本財託,○,架電可,○,"○ 妥当：自社HP会社概要で2025年9月期の連結売上高433億7,400万円と、その内訳の日本財託（単体）367億2,000万円・日本財託管理サービス65億5,000万円・Beans Trust賃貸保証2億5,600万円を確認。対象法人は日本財託グループの親会社で単体でも300億円超。2026年9月期は未了のため2025年9月期が最新（§3-8適合）。ただし単体は基準まで67億円しか余裕がなく、次期減収時は再確認要。",https://www.nihonzaitaku.co.jp/company/about.html;https://www.nihonzaitaku.co.jp/company/results02.html
1925,001Nn00000eVoU0,6130001047071,株式会社島津インターナショナル,△,架電不可（△要再確認）,×,△ 妥当：確認不可で正しい。当たった経路＝①島津製作所2025年3月期有報「関係会社の状況」（10%超注記が付くのは島津(香港)有限公司のみで島津インターナショナルには無く下限証明も不可）②官報決算公告（純利益30.22億円・利益剰余金110.35億円・総資産200.54億円のみ＝貸借対照表のみで売上高欄が存在しない）③自社HP会社概要④島津製作所IR業績ハイライト。開示義務がなく承認ソースでは取得不能。,https://www.shimadzu-inter.co.jp/ ; https://disclosure2dl.edinet-fsa.go.jp/searchdocument/pdf/S100R8AR.pdf ; https://www.shimadzu.co.jp/ir/finance/highlights.html ; https://catr.jp/companies/b1862/23842
1926,001Nn00000eVoU4,2180001126155,株式会社シロキ,○,架電不可（×要修正）,×,"× 要修正：子会社にグループ連結値を当てている（§3-3/§6-4違反）。株式会社シロキは株式会社シロキホールディングス（愛知県名古屋市、2017年持株会社体制へ移行）の連結子会社で、印刷用紙・情報用紙の卸売会社。G列の319億円はグループ連結値であり子会社には使えない（グループ全体が超えていても子会社は一律NG）。さらに319億円は『グループ連結319億円・単体52億円（令和7年12月期）』としてシロキコーポレーションに紐づく値でもあり、株式会社シロキ単体の値ではない疑いが濃厚。グループ連結が319億円である以上、傘下1社の単体が300億以上である可能性は低い。正しくはG列『確認不可』、H列『× 子会社。シロキHDの連結子会社で319億円はグループ連結値。単体売上高は承認ソースで確認できず』。なお shiroki.co.jp のアイシンシロキ（単独1,129億／連結2,055億・2025年3月期）は全くの別法人で混同注意（§6-2）。",https://shiroki.com/shiroki/; https://shiroki.com/shiroki-hd/; https://kankyo-shiroki.com/info.html; https://www.shiroki.co.jp/company/outline/
1927,001Nn00000eVoUq,2120001073510,株式会社メタルワン特殊鋼,△,架電可（回収）,○,"○ 回収：親会社メタルワンの公式ニュースリリース（承認ソース①ニュースリリース／⑥親会社IR）に、2026年4月1日付でメタルワン特殊鋼がメタルワン鉄鋼製品販売を統合し株式会社Metal One Nexusとして発足、売上規模約1,700億円・メタルワン100%子会社と明記。子会社単体1,700億円>300億円で基準充足。法人番号2120001073510は存続会社の商号変更でgBizINFO上も現存（閉鎖なし）。※要社名更新：現商号は株式会社Metal One Nexus。",https://www.mtlo.co.jp/newsrelease/2269/ ; https://monx.co.jp/aboutus/company/ ; https://info.gbiz.go.jp/hojin/ichiran?hojinBango=2120001073510
1928,001Nn00000eVoUs,7140001052111,エア・リキード・オペレーション株式会社,△,架電不可（△要再確認）,×,"△ 妥当：確認不可で正しい。当たった経路＝①官報決算公告（純利益5,527.9万円・利益剰余金6,348.6万円・2025年12月期＝貸借対照表のみで売上高欄が存在しない）②自社HP（Air Liquide Japan会社概要）③gBizINFO④日本エア・リキード／Air Liquide本体のIR。単体売上高の開示義務がなく承認ソースでは取得不能。",https://industry.airliquide.jp/ ; https://jp.airliquide.com/overview_career ; https://info.gbiz.go.jp/hojin/ichiran?hojinBango=7140001052111 ; https://catr.jp/companies/e1c45/3536
1929,001Nn00000eVoVB,8470001000275,愛染興業株式会社,△,架電不可（△要再確認）,×,△ 妥当：確認不可で正しい。香川県高松市のパチンコホール運営（アトランティスアイゼン等）。当たった経路＝①自社HP②官報決算公告DB③gBizINFO。いずれも売上高の記載なし。流通する唯一の数値は2024年度255.60億円だが出典はYahoo!しごとカタログ・OpenWork・マイナビ転職等の禁止ソースで採用不可。かつ255.60億円は300億未満のため回収の余地なし。,http://aizen-p.com/ ; https://catr.jp/companies/7c002/44147 ; https://www.openwork.jp/a0C1000000pmaFS/analysis/
1930,001Nn00000eVoW2,8240001029866,株式会社一富士興業,△,架電不可（△要再確認）,×,"△ 妥当：確認不可で正しい。ただし回収不能が事実上確定。1次未踏の経路＝自社HP会社概要に「売上高200億円（2022年6月期）／資本金9,000万円／従業員290名／遊技場・温浴施設・駐車場経営」と明記（承認ソース）。ただし2022年6月期は直近3期外のため§3-8によりG列は確認不可のまま。200億円＝300億未満であり、最新期でも300億到達の見込みなし。",http://www.ichifujinetwork.co.jp/company/information/ ; https://www.ichifujinetwork.co.jp/company/about/ ; https://info.gbiz.go.jp/hojin/ichiran?hojinBango=8240001029866
1931,001Nn00000eVoWT,5180001026047,大和産業株式会社,○,架電不可（△要再確認）,×,"△ 要再確認：G列『2,063億円（2026年3月期・グループ）』はグループ売上高の“合計”であって連結でも単体でもない。§3-3で親会社/HDならグループ連結が使えるが、大和産業が当該グループの親会社・持株会社であることを承認ソースで確認できなかった（公式サイト限定を含め計6回検索したが、グループ構成・親子関係および2,063億円という数値自体を再現できず）。官報決算公告（catr.jp）第74期は総資産253億2,100万円・純利益12億円・利益剰余金156億8,300万円で売上高の記載なし。同名企業も複数存在（daiwa-sangyo.co.jp のモビリティ商社は別法人）だが法人番号5180001026047の登記所コード1800＝名古屋で食品原料卸の当社と一致。単体が300億を超える蓋然性は高い（別途『2024年3月期1,330億円』の情報があるがブンナビ等の禁止ソース）ため即除外はせず、自社HP会社概要で①単体売上高②親子関係③『合計』か『連結』かを確認のうえ再判定すべき。",https://www.yamatosangyo.co.jp/company/outline.html; https://catr.jp/companies/8a801/27724/settlements/67d28/319204; https://catr.jp/companies/8a801/27724
1932,001Nn00000eVoX6,5010001030296,美須賀海運株式会社,△,架電不可（△要再確認）,×,△ 妥当：確認不可で正しい。大王海運グループの船舶管理・船主会社（約110隻管理、従業員170名）。当たった経路＝①自社HP会社情報・事業内容・ニュースリリース②gBizINFO③官報決算公告（掲載を確認できず）。2025年3月期373億円が流通するが出典は東京商工リサーチ「エラベル」・Wikipedia等の非承認ソースで採用不可。※373億円は300億超のため、日本海事新聞等の新聞記事が取れれば回収余地あり。,https://misuga-kaiun.co.jp/company.html ; https://misuga-kaiun.co.jp/business.html ; https://info.gbiz.go.jp/hojin/ichiran?hojinBango=5010001030296 ; https://www.alevelsearch.com/company/misuga-kaiun/
1933,001Nn00000eVoYT,6010001155349,ＰＨＣホールディングス株式会社,○,架電可,○,"○ 妥当：自社統合報告書の主要財務データで2025年3月期の連結売上収益361,593百万円＝3,615.93億円。桁検算OK。持株会社の連結値採用は§3-3で明示的にOK。IFRS「売上収益」は§3-7により売上高と同義として採用可。金額規模が大きくトリアージ0クエリ行。",https://prod-phchd-sc104-wjp-rp.phchd.com/jp/sustainability/integratedreport2025/data/financial_statements
1934,001Nn00000eVoZK,3380001000405,キョウワプロテック株式会社,△,架電不可（△要再確認）,×,"△ 妥当：確認不可で確定。当たった経路＝①自社HP決算公告ページ（2025年6月期・2024年6月期・2023年6月期いずれも貸借対照表と個別注記表のみを掲載し、損益計算書＝売上高欄が存在しない）②グループ概要ページ（従業員8,000名以上・100超事業所の記載のみで売上高なし）③gBizINFO④官報決算公告DB。開示義務がないため探しても出ず、△が確定した結論。",https://www.kyowa-groupnet.jp/settlement/ ; https://www.kyowa-groupnet.jp/about/overview/ ; https://info.gbiz.go.jp/hojin/ichiran?hojinBango=3380001000405 ; https://catr.jp/companies/0303f/142743
1935,001Nn00000eVoZP,1260001012752,菅公学生服株式会社,○,架電可,○,"○ 妥当：菅公学生服株式会社は東京・名古屋・大阪・福岡の各菅公学生服を擁する菅公学生服グループの中核（親会社）であり、子会社ではないため§3-3によりグループ連結300億超でOK。自社HP企業情報でグループ連結売上高456億2,100万円を開示し、繊維ニュース（新聞社ソース§3-4④）も『2025年7月期 連結売上高456億円・前期比10.1%増、営業利益12億9,600万円』と決算期と売上高を明記して一致。判定○は妥当。注記：G列の『2024年度』は2025年7月期（2024年8月〜2025年7月）を指すため、H列に『2025年7月期』と併記した方が誤読を防げる。",https://kanko-gakuseifuku.co.jp/company/overview.html; https://www.sen-i-news.co.jp/seninews/view/?article=415496; https://info.gbiz.go.jp/hojin/ichiran?hojinBango=1260001012752
1936,001Nn00000eVoZm,8180001017638,トヨタカローラ愛知株式会社,○,架電可,○,"○ 妥当（決算期の鮮度に注意）：自社HP会社概要の2024年3月期売上高640億3,400万円。2026年9月時点で直近3期以内のため§3-8には適合するが、2025年3月期以降の更新値が存在する可能性が高い（再検索では承認ソース由来の最新値を確定できず、禁止ソース経由の数値のみ流通しているため採用せず）。トヨタ系販売会社（子会社）だがG列は単体値で§3-3適合。いずれの期でも単体300億円を大きく超え判定は動かない。",https://www.c-aichi.co.jp/corporate
1937,001Nn00000eVoZp,1500001005095,太陽石油販売株式会社,△,架電可（回収）,○,"○ 回収：自社HP会社案内（承認ソース①）に売上高推移を確認。令和元年度536→令和2年度433→令和3年度560→令和4年度593→令和5年度606→令和6年度609億円。太陽石油販売単体の値で、親会社太陽石油の連結（第88期6,910億円）とは別系列。太陽石油グループは3月決算のため令和6年度＝2025年3月期で直近3期内。G列訂正：確認不可→609億円（2025年3月期・単体）。※ページ本文は未閲覧（WebFetch遮断）",https://www.taiyosekiyuhanbai.co.jp/about.html ; https://www.taiyooil.net/news/2025/25-018.html ; https://www.taiyooil.net/corporate/accounts/
1938,001Nn00000eVoaG,9100001000600,株式会社角藤,○,架電可,○,"○ 妥当：承認ソースはG列記載の自社HP会社概要。再検索でも2026年1月期の売上高951億6,847万円と一致し、G列の951億円を追認（ただし再現先の多くは§6-6の禁止ソースのため根拠は自社HPに置く）。長野の専門工事業者で単体951億円、300億基準を大きく超える。",https://www.kakuto.co.jp/company/;https://www.kakuto.co.jp/
1939,001Nn00000eVoaJ,6240001026634,株式会社ムロオ,△,架電不可（△要再確認）,×,"△ §7-1回答待ち：780.78億円（2026年3月期・単体）を官報決算公告（catr.jp転載）で確認済み。catr.jpが承認ソースと認められれば○に回収可能。下限証明の代替経路は不可＝親会社トライアルHDの2026年6月期連結売上高1兆3,430億円×10%＝1,343億円>780億円のため有報「関係会社の状況」の10%超注記の対象にならない。自社HP会社概要・トライアルHD IRにも単体売上高の記載なし。",https://muroo.co.jp/company/outline/ ; https://trial-holdings.inc/ir/library/securities/ ; https://trial-holdings.inc/ir/financial/ ; https://catr.jp/
1940,001Nn00000eVogl,2320001007828,株式会社チアエンタープライズ,△,架電不可（△要再確認）,×,△ 妥当：確認不可で正しい。大分県豊後高田市のボウリング場・アミューズメント施設運営（1992年12月設立）。当たった経路＝①自社HP②gBizINFO③官報決算公告DB（掲載を確認できず）④新聞記事。いずれも売上高の記載なし。数値はSalesNow・Baseconnect・jobtalk・エンゲージ会社の評判といった禁止ソースにしか存在せず採用不可（§6-6加藤化学と同型）。,http://www.cheer-group.jp/index.html ; https://info.gbiz.go.jp/hojin/ichiran?hojinBango=2320001007828 ; https://catr.jp/
1941,001Nn00000eVoi5,9180001031571,株式会社東海理化クリエイト,○,架電可,○,○ 妥当：自社HP会社概要で2026年3月期の売上高が単体489億円・連結625億円、従業員が単体160名・連結315名（2026年3月末）と確認。東海理化電機製作所の子会社にあたるが、G列は連結625億円ではなく単体489億円を採用しており§3-3の子会社=単体基準に適合。単体でも300億円以上。,https://www.torica.co.jp/outline/;https://info.gbiz.go.jp/hojin/ichiran?hojinBango=9180001031571
1942,001Nn00000eVoiM,7013301022317,ヤマトクレジットファイナンス株式会社,△,架電不可（×要修正）,×,"× 要修正：官報決算公告（catr.jp収録）で第50期売上高40.54億円、第49期40.93億円、第46期55.61億円、第45期55.34億円と全期一貫して300億円未満。E列「300億以上〜1,000億未満」は誤り。ヤマトHD傘下の金融子会社で自社HP・ヤマトHDのIRに単体売上高の記載なし。仮に§7-1でcatr.jpが承認ソース外となっても「載せない」で結論は不変。追加経路＝官報決算公告・自社HP会社案内",https://www.yamato-credit-finance.co.jp/company/;https://catr.jp/companies/e1b46/17566;https://catr.jp/companies/e1b46/17566/settlements/71d42/355901;https://catr.jp/companies/e1b46/17566/settlements/8f450/307052
1943,001Nn00000eVoiZ,8010401090648,株式会社アルファパーチェス,○,架電不可（△要再確認）,×,"△ 要再確認：§3-3違反の疑い（子会社に連結値）。アスクル株式会社が当社議決権の62.45%（2024年12月31日現在）を保有する親会社であり、当社はアスクルの連結子会社（東証スタンダードの上場子会社）。したがってG列の連結589億円（2025年12月期決算短信で58,922百万円＝589.22億円と確認）は§3-3により判定根拠にできず、単体（提出会社）売上高で判定し直す必要がある。有報第16期・IRライブラリ・gBizINFOを当たったが単体売上高を取得できず、単体が300億円以上かは未確定。単体値の確認までトスアップ不可。",https://www.alphapurchase.co.jp/ir/library/securities.html;https://www.alphapurchase.co.jp/pdf/202503266.pdf;https://www.alphapurchase.co.jp/ir/financial/highlight.html;https://www.askul.co.jp/corp/investor/stock/infomation/;https://www.askul.co.jp/corp/assets/pdf/for_investors_J.pdf
1944,001Nn00000eVoid,6400002001207,株式会社公楽,△,架電不可（△要再確認）,×,△ 妥当：確認不可で正しい。当たった経路＝官報決算公告（catr.jp収録・第49期は総資産155.86億円/純利益0.68億円のみのBS公告で売上高欄が存在しない＝開示義務なく探しても出ない）、自社グループHP、gBizINFO、マイナビ会社概要。売上高250億円はSalesNow/Baseconnect等の禁止ソースのみで、仮に正しくても300億未満。同名法人（岩手県盛岡市のパチンコホール運営）との照合が必要な点も残る,https://catr.jp/companies/eb22d/34338;https://www.nk-group.co.jp/;https://baseconnect.in/companies/ee3c9174-d135-40d2-a43f-45159fa4c452
1945,001Nn00000eVoj0,1430001005219,株式会社なの花北海道,○,架電可,○,"○ 妥当：親会社メディカルシステムネットワーク（4350・札幌／北海道財務局提出）の有報「関係会社の状況＝主要な損益情報等」から子会社単体を採ったルートは§5-3-6の正攻法。単体2024年3月期31,435百万円＝314.35億円を独立に確認でき、翌期323.88億円は連続性がある。いずれの期でも単体300億超で子会社要件（§3-3）を満たす。ただしH列のURLはedinetdb.jp（EDINETの民間ミラー）であり§7-1と同種の懸念があるため、EDINET原本URLに差し替えるのが望ましい。",https://disclosure2dl.edinet-fsa.go.jp/searchdocument/pdf/S100TOIF.pdf;https://contents.xj-storage.jp/xcontents/AS08326/750ed586/f5a6/4576/960b/30f9f793b5a3/140120250507532024.pdf;https://www.msnw.co.jp/company/group/
1946,001Nn00000eVoj1,1060001010545,株式会社ナカニシ,○,架電可,○,"○ 妥当：2025年12月期決算短信（2026/2/12開示）で連結売上高81,179,143千円＝811.79億円を再現確認。G列の数値・決算期・連結の別すべて一致し桁検算も一致（§6-1）。東証上場の親会社のため連結採用可（§3-3）。同期は米子会社ののれん減損で最終赤字だが売上高判定には影響しない。",https://www.nakanishi-inc.jp/app/wp-content/uploads/2026/02/FY2025Q4_FR.pdf;https://www.nakanishi-inc.jp/ir/financial-report/
1947,001Nn00000eVoj3,9120001077430,塩野義製薬株式会社,○,架電可,○,"○ 妥当：499,677百万円＝4,996.77億円で桁検算一致（§6-1）。東証プライム上場の親会社で、連結売上収益（IFRS）の採用は§3-7に適合。基準300億の16倍で数値が多少ぶれても判定は反転しないため、検索枠は薄い行に配分し桁検算とソース種別の確認のみで○とした（出典＝自社決算短信は§3-4の承認ソース）。留意：H列URLがfy2026/q1配下で通期短信のパスとして不自然。IRライブラリの通期短信URLへの差し替えを推奨。",
1948,001Nn00000eVojV,6011701000463,株式会社イクタツ,△,架電不可（△要再確認）,×,"△ 妥当：確認不可で正しい。当たった経路＝自社HP会社概要（売上高の記載なし。資本金1億円・従業員203名・3月決算のみ）、自社HP会社案内・沿革・採用ページ、官報決算公告検索（該当公告を発見できず）。売上高約300億円はBaseconnect/NIKKEI COMPASS/就活会議/OpenWork等の禁止ソースのみ。米卸・従業員203名でE列「1,000億円以上」は明らかに過大。非上場・親会社なしで下限証明の経路もない",https://ikutatsu.co.jp/toppage/company;http://www.ikutatsu.co.jp/company/;https://ikutatsu.co.jp/toppage/about_ikutatsu
1949,001Nn00000eVoje,7021001021209,東海教育産業株式会社,△,架電不可（△要再確認）,×,△ 妥当：確認不可で正しい。当たった経路＝gBizINFO、官報決算公告（catr.jp第45期は純利益3.82億円・利益剰余金39.16億円のみのBS公告で売上高欄が存在しない）、決算公告第52期も当期純利益2.17億円のみ、自社HP、キャリタス就活。学校法人東海大学等が株主の非上場会社で売上高の開示義務がなく探しても出ない△確定。純利益2〜4億円規模でE列「300億以上」自体が疑わしい,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=7021001021209;https://catr.jp/settlements/23cdb/27121;https://job.career-tasu.jp/corp/00124657/detail-uc/
1950,001Nn00000eVojo,6230001012701,アイディック株式会社,△,架電不可（△要再確認）,×,"△ 妥当：確認不可で正しい。当たった経路＝自社HP会社概要、富山県公式「就活ラインとやま」企業情報（公的機関＝§5-3系統7。資本金8,250万円・連結従業員351名・飲食料品卸売業の記載はあるが売上高なし）、gBizINFO、官報決算公告検索（該当公告なし）。売上高はYahoo!しごとカタログ/Baseconnect/就活会議等の禁止ソースのみ。非上場・親会社なしで下限証明の経路もない",https://shukatsu-line.pref.toyama.lg.jp/corporation/1580/info;http://www.aidic.co.jp/info.html;https://info.gbiz.go.jp/hojin/ichiran?hojinBango=6230001012701
1951,001Nn00000eVoju,4190001007443,国分中部株式会社,○,架電可,○,"○ 妥当：自社HP会社概要（国分グループ公式ドメイン内 kokubu.co.jp/chubu）に2025年12月期売上高190,946百万円＝1,909.46億円、営業利益14億5,700万円と明記。桁検算OK（§6-1）。法人番号4190001007443がgBizINFOの国分中部と一致（§6-2）。子会社だが単体1,909億で300億を大きく超え§3-3を満たす。H列の「セントラルフォレストグループ100%子会社」という親会社記述までは裏取りできなかったが、単体値で成立するため判定に影響しない。",https://www.kokubu.co.jp/chubu/company/outline/;https://info.gbiz.go.jp/hojin/ichiran?hojinBango=4190001007443;https://www.kokubu.co.jp/company/results/
1952,001Nn00000eVojx,7012401009983,株式会社ビィ・フォアード,○,架電可,○,"○ 妥当（今回あらためて実証）：1次refuteは出典URL空欄＝未検証だったため再取得した。自社発信のプレスリリース「2025年12月期の売上高、販売台数を発表」（2026/4/14）で売上高1,609億4,642万円・中古車販売台数19.0万台といずれも過去最高と確認。G列の1,609億円・2025年12月期と一致、桁検算も一致（§6-1）。株式会社かつ親会社で§3-3の論点なし。基準300億の5.4倍で反転余地なし。留意：同社は2025/1/30に決算期（事業年度）変更を開示しており、2025年12月期は変更後の事業年度である点。",https://prtimes.jp/main/html/rd/p/000000194.000009457.html;https://corporate.beforward.jp/company/information/;https://corporate.beforward.jp/company/news/press/2025/20250130
1953,001Nn00000eVok2,1290001011693,上村建設株式会社,○,架電不可（△要再確認）,×,△ 要再確認：307億円（2025年10月期）は基準比＋2.3%と極めて薄い。H列出典の自社HP会社概要（e-uemura.jp/company/outline/）をドメイン限定を含む4経路で検索したが数値を再現できず、「売上高307億円・従業員328名（2025/10/31）」の組は求人媒体（マイナビ等＝§3-4禁止ソース）の記載形式と一致する。加えてウエムラグループ（上村建設・ユーライフホーム・上村倉庫・ハッピーハウス・ハッピー住宅保証・ハッピーリースサービスの6社）の「グループ業績」ページが別に存在し、307億円が単体かグループ計か未確定（§6-4・ヤマウチ型）。前期317億→当期307億の減収傾向もあり単体300億割れを否定できない。当たった経路＝自社HP会社概要/会社案内、ウエムラグループ業績ページ、gBizINFO、地場経済誌。なお法人番号1290001011693＝福岡市博多区住吉で同名他社との取り違えはなし（§6-2はクリア）。,https://www.e-uemura.jp/company/outline/;https://www.uemuragroup.jp/result/;https://info.gbiz.go.jp/hojin/ichiran?hojinBango=1290001011693;https://www.fukuoka-keizai.co.jp/feature/%E4%B8%8A%E6%9D%91%E5%BB%BA%E8%A8%AD/
1954,001Nn00000eVok4,1010001093768,高島屋スペースクリエイツ株式会社,○,架電不可（×要修正）,×,"× 要修正：G列376億円は承認ソースのどこにも存在しない。官報決算公告では第116期（2026年2月期＝2025年度）売上高316億3,000万円・営業利益7億5,500万円・経常利益7億6,100万円・純利益4億7,900万円、第115期（2025年2月期）売上高293億2,000万円で前期は300億未満。正しくはG列「316.30億円（2026年2月期・単体）」。判定記号は○のまま可だが数値が約60億円過大で要差替。またH列URL https://www.ts-create.jp/index.php/company/outline は実在せず、実在ページは https://www.ts-create.jp/company/outline （売上高の記載を検索では確認できず）。確認できた316.30億円の出典はcatr.jp収録の決算公告のみで§7-1の先方確認待ち。300億との差が16億円と薄く、前期が300億未満のため、原本（官報／高島屋IR）での再確認が必要。",https://catr.jp/companies/3b9ab/11877/settlements/ca194/101601;https://catr.jp/companies/3b9ab/11877/settlements/b2709/7131;https://www.ts-create.jp/company/outline;https://info.gbiz.go.jp/hojin/ichiran?hojinBango=1010001093768
